Port,Constraint,Budget,Edge,Clock,Slack,AvailTime,Exception
input1[30],set_input_delay,-0.021,fall,clk_v0_setuphold,0.367,-0.929,
input1[29],set_input_delay,-0.013,rise,clk_v0_setuphold,0.317,-0.899,
input1[29],set_input_delay,-0.021,fall,clk_v0_setuphold,0.378,-0.930,
input1[28],set_input_delay,-0.013,rise,clk_v0_setuphold,0.295,-0.899,
input1[28],set_input_delay,-0.021,fall,clk_v0_setuphold,0.360,-0.930,
input1[27],set_input_delay,-0.013,rise,clk_v0_setuphold,0.288,-0.899,
input1[27],set_input_delay,-0.021,fall,clk_v0_setuphold,0.352,-0.928,
input1[26],set_input_delay,-0.012,rise,clk_v0_setuphold,0.305,-0.898,
input1[26],set_input_delay,-0.022,fall,clk_v0_setuphold,0.375,-0.936,
input1[25],set_input_delay,-0.013,rise,clk_v0_setuphold,0.345,-0.899,
input1[25],set_input_delay,-0.021,fall,clk_v0_setuphold,0.370,-0.930,
input1[24],set_input_delay,-0.013,rise,clk_v0_setuphold,0.333,-0.899,
input1[24],set_input_delay,-0.020,fall,clk_v0_setuphold,0.381,-0.930,
input1[23],set_input_delay,-0.013,rise,clk_v0_setuphold,0.305,-0.899,
input1[23],set_input_delay,-0.019,fall,clk_v0_setuphold,0.383,-0.929,
input1[22],set_input_delay,-0.013,rise,clk_v0_setuphold,0.320,-0.899,
input1[22],set_input_delay,-0.022,fall,clk_v0_setuphold,0.382,-0.933,
input1[21],set_input_delay,-0.012,rise,clk_v0_setuphold,0.306,-0.899,
input1[21],set_input_delay,-0.021,fall,clk_v0_setuphold,0.379,-0.933,
input1[20],set_input_delay,-0.012,rise,clk_v0_setuphold,0.318,-0.898,
input1[20],set_input_delay,-0.022,fall,clk_v0_setuphold,0.388,-0.935,
input1[19],set_input_delay,-0.013,rise,clk_v0_setuphold,0.335,-0.899,
input1[19],set_input_delay,-0.023,fall,clk_v0_setuphold,0.418,-0.933,
input1[18],set_input_delay,-0.013,rise,clk_v0_setuphold,0.350,-0.898,
input1[18],set_input_delay,-0.025,fall,clk_v0_setuphold,0.429,-0.935,
input1[17],set_input_delay,-0.012,rise,clk_v0_setuphold,0.330,-0.899,
